,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,5954,2273465838,85322454,9361068,142,274,343,63,832,0,16,328,0,556,514,1484,395,660,126,184,4,2,0,0,0,514,0,0,0,0,0,0,0,0,31,0
transportation & traffic,15834,5746816042,222003337,24611648,529,829,1246,131,1679,0,64,750,0,1600,1547,4116,1376,1136,369,349,57,8,0,0,0,1547,0,0,0,0,0,0,0,0,47,1
food & drinks,8877,3217841203,130258018,14501168,183,539,493,78,769,0,27,409,0,959,827,2440,481,1205,222,170,20,4,0,0,0,827,0,0,0,0,0,0,0,0,51,0
animal,10916,4224256923,179580549,19404710,331,734,951,141,1049,0,50,486,0,1169,909,2771,738,936,300,244,60,7,0,0,0,909,0,0,0,0,0,0,0,0,39,1
kitchenware,18420,6342367863,246763391,26399552,418,1039,1291,129,1714,0,63,794,0,2005,1798,5000,1606,1607,421,360,85,7,0,0,0,1798,0,0,0,0,0,0,0,0,83,0
household,22254,8450737076,334546399,35767427,517,1225,1864,159,2125,0,79,913,0,2363,2166,5982,1984,1708,503,466,99,9,0,0,0,2166,0,0,0,0,0,0,0,0,91,1
office & belongings,20296,7617125296,302078862,32075916,472,1078,1656,134,1943,0,70,833,0,2122,1991,5568,1834,1545,437,431,87,7,0,0,0,1991,0,0,0,0,0,0,0,0,87,1
person,21604,8248809809,328638562,34882172,456,1200,1807,131,2085,0,65,880,0,2355,2188,5893,1936,1527,477,414,88,9,0,0,0,2188,0,0,0,0,0,0,0,0,92,1
