,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,5849,3117810384,107672692,14307583,151,241,236,62,481,0,29,303,0,530,374,2240,325,478,140,191,39,0,0,0,0,374,0,0,0,0,0,0,0,0,29,0
transportation & traffic,16462,8290737382,289987097,38137304,552,860,760,145,1060,0,79,770,0,1922,1045,6301,1106,824,450,420,120,1,0,0,0,1045,0,0,0,0,0,0,0,0,46,1
food & drinks,8965,4465659171,162080663,21372159,172,466,284,71,515,0,52,409,0,1090,478,3453,466,970,185,241,59,0,0,0,0,478,0,0,0,0,0,0,0,0,54,0
animal,10871,5776206737,216026721,28050191,263,690,570,155,655,0,40,466,0,1423,581,4155,559,709,216,284,65,0,0,0,0,581,0,0,0,0,0,0,0,0,40,0
kitchenware,19018,9077045318,315290734,41440196,483,1013,774,128,1076,0,87,831,0,2436,1234,7330,1247,1214,460,489,132,0,0,0,0,1234,0,0,0,0,0,0,0,0,83,1
household,23005,11854705892,418498781,54369231,548,1238,1090,173,1312,0,99,942,0,2920,1509,8836,1639,1291,532,606,168,1,0,0,0,1509,0,0,0,0,0,0,0,0,100,1
office & belongings,20813,10518000081,372830334,48645610,503,1069,958,146,1187,0,84,863,0,2538,1423,8106,1522,1135,466,561,154,1,0,0,0,1423,0,0,0,0,0,0,0,0,96,1
person,22288,11618441089,409079342,53004992,519,1236,1043,170,1298,0,91,918,0,2868,1508,8682,1601,1096,485,511,160,1,0,0,0,1508,0,0,0,0,0,0,0,0,100,1
