,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,632,2527675097,57970630,6508714,3,36,154,13,64,0,0,41,0,47,37,151,28,33,12,11,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
transportation & traffic,1961,7281389222,177741747,20113372,12,138,507,24,138,0,9,136,0,156,110,485,70,119,22,32,2,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0
food & drinks,942,3942994288,97999808,10757571,2,59,215,11,65,0,1,60,0,89,51,238,29,97,12,12,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
animal,1488,6221840374,149535897,14862568,7,109,451,35,97,0,4,88,0,121,65,335,40,98,19,16,2,0,0,0,0,65,0,0,0,0,0,0,0,0,1,0
kitchenware,2268,8075949461,194933736,21463618,7,137,550,29,160,0,7,125,0,196,135,605,85,172,22,33,4,0,0,0,0,135,0,0,0,0,0,0,0,0,1,0
household,2894,11734913445,281010348,29485551,12,168,805,38,197,0,10,158,0,235,157,741,113,182,33,39,5,0,0,0,0,157,0,0,0,0,0,0,0,0,1,0
office & belongings,2574,10034305484,242679458,25691861,10,134,702,31,179,0,6,135,0,212,142,667,108,174,32,36,5,0,0,0,0,142,0,0,0,0,0,0,0,0,1,0
person,2808,11361460829,274578977,28982669,10,168,764,32,193,0,9,143,0,234,157,738,112,178,29,35,5,0,0,0,0,157,0,0,0,0,0,0,0,0,1,0
