,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,6472,1655184428,83904323,12165966,277,409,222,91,457,0,53,230,0,1344,484,1121,613,604,96,254,183,1,0,0,0,484,0,0,0,0,0,0,0,0,33,0
transportation & traffic,18354,4184781829,214396030,30652866,1200,1209,743,288,855,0,163,615,0,4030,1212,2745,2371,1160,319,642,687,1,0,0,0,1212,0,0,0,0,0,0,0,0,114,0
food & drinks,10709,2374342605,130955806,17350470,300,607,371,208,360,0,93,344,0,3049,706,1840,778,1203,146,333,319,0,0,0,0,706,0,0,0,0,0,0,0,0,52,0
animal,12412,2938551596,158065207,21387246,618,895,576,397,522,0,121,395,0,2960,825,2050,1096,946,185,395,380,1,0,0,0,825,0,0,0,0,0,0,0,0,50,0
kitchenware,20651,4443409284,232441262,32159643,928,1246,797,317,815,0,161,606,0,5139,1437,3268,2484,1553,344,726,694,1,0,0,0,1437,0,0,0,0,0,0,0,0,135,0
household,25046,5753635167,297084804,41743035,1154,1640,1075,426,1020,0,218,716,0,5978,1770,3900,3166,1674,428,842,881,1,0,0,0,1770,0,0,0,0,0,0,0,0,157,0
office & belongings,22542,5172695961,270559994,37918990,1080,1429,962,346,932,0,186,637,0,5154,1681,3547,2956,1489,385,782,824,1,0,0,0,1681,0,0,0,0,0,0,0,0,151,0
person,23812,5567236264,290972303,40855560,1006,1618,1070,374,1016,0,199,663,0,5574,1790,3800,3083,1507,398,721,834,1,0,0,0,1790,0,0,0,0,0,0,0,0,158,0
