,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,3424,2517519193,53311046,6280030,5,113,303,0,81,0,0,7,0,183,260,1450,537,172,147,102,30,0,0,0,0,260,0,0,0,0,0,0,0,0,34,0
transportation & traffic,9707,6978799775,158486985,16217810,24,310,912,0,225,0,1,13,0,632,770,3891,1782,258,559,204,59,1,0,0,0,770,0,0,0,0,0,0,0,0,66,0
food & drinks,5826,4376633835,88209878,9611661,10,198,606,1,90,0,2,11,0,396,380,2677,822,300,128,114,23,0,0,0,0,380,0,0,0,0,0,0,0,0,68,0
animal,5279,4349105054,98618934,9451080,18,204,555,1,129,0,0,8,0,333,443,2228,867,187,120,100,32,0,0,0,0,443,0,0,0,0,0,0,0,0,54,0
kitchenware,10742,7818966166,175831990,18635720,21,327,971,0,219,0,3,16,0,696,887,4603,1722,352,505,262,49,0,0,0,0,887,0,0,0,0,0,0,0,0,109,0
household,12588,9289265317,212586942,21873867,27,394,1124,1,241,0,2,18,0,782,1035,5517,2048,370,561,281,66,1,0,0,0,1035,0,0,0,0,0,0,0,0,120,0
office & belongings,11689,8405486644,190252360,19472563,25,352,1020,1,213,0,3,17,0,706,975,5189,1872,336,542,273,52,1,0,0,0,975,0,0,0,0,0,0,0,0,112,0
person,12466,9375374281,215412053,22134807,25,398,1139,1,247,0,3,17,0,790,1042,5521,2027,305,495,269,65,1,0,0,0,1042,0,0,0,0,0,0,0,0,121,0
