,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,5371,4760380504,147145147,20497020,42,229,265,60,556,0,59,266,0,346,428,1923,377,435,169,185,6,0,0,0,0,428,0,0,0,0,0,0,0,0,25,0
transportation & traffic,13512,11767620592,385779957,50488355,224,704,838,146,964,0,120,547,0,1075,1113,4647,1453,758,437,402,28,1,0,0,0,1113,0,0,0,0,0,0,0,0,55,0
food & drinks,8297,7275682501,236913474,31216133,53,379,400,114,510,0,170,331,0,568,669,3092,598,849,251,251,7,0,0,0,0,669,0,0,0,0,0,0,0,0,55,0
animal,9237,8552010618,294106757,38099324,97,534,658,167,673,0,89,384,0,731,746,3186,717,572,296,327,13,0,0,0,0,746,0,0,0,0,0,0,0,0,47,0
kitchenware,16607,13630080290,446392284,58850956,163,756,921,163,1140,0,191,599,0,1379,1396,5971,1745,1152,462,452,24,0,0,0,0,1396,0,0,0,0,0,0,0,0,93,0
household,19877,17223926731,573016523,74137148,204,925,1278,198,1359,0,185,707,0,1671,1649,7036,2200,1212,526,580,38,1,0,0,0,1649,0,0,0,0,0,0,0,0,108,0
office & belongings,18390,15567580892,518554649,67528049,181,777,1141,164,1281,0,152,670,0,1527,1541,6569,2095,1123,491,539,37,1,0,0,0,1541,0,0,0,0,0,0,0,0,101,0
person,19437,16851870094,562276138,72523891,190,909,1237,185,1321,0,187,664,0,1675,1622,7009,2177,1140,461,515,35,1,0,0,0,1622,0,0,0,0,0,0,0,0,109,0
