,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,1447,2652990963,79603655,10233264,11,72,139,39,148,0,10,32,0,107,127,304,108,139,77,129,3,0,0,0,0,127,0,0,0,0,0,0,0,0,2,0
transportation & traffic,3933,6922822055,207586212,25998166,57,219,440,93,308,0,42,83,0,285,335,931,327,348,191,263,8,0,0,0,0,335,0,0,0,0,0,0,0,0,3,0
food & drinks,2199,3811993337,117495670,14828688,10,104,194,58,125,0,31,44,0,188,174,524,138,340,108,156,3,0,0,0,0,174,0,0,0,0,0,0,0,0,2,0
animal,2883,5422859974,166443158,19702415,21,180,407,125,188,0,30,45,0,241,227,645,208,274,118,166,6,0,0,0,0,227,0,0,0,0,0,0,0,0,2,0
kitchenware,4681,7563164027,235599512,28987121,42,237,485,105,332,0,47,74,0,380,412,1175,361,524,198,298,8,0,0,0,0,412,0,0,0,0,0,0,0,0,3,0
household,5797,10469528732,320498015,38026240,58,294,739,134,400,0,54,94,0,453,483,1433,470,568,237,362,14,0,0,0,0,483,0,0,0,0,0,0,0,0,4,0
office & belongings,5213,9081666034,284586564,34335425,47,243,655,116,369,0,44,81,0,408,446,1309,438,496,215,329,13,0,0,0,0,446,0,0,0,0,0,0,0,0,4,0
person,5490,10013189138,310412825,36559698,48,287,693,119,377,0,48,76,0,447,480,1437,430,538,186,306,14,0,0,0,0,480,0,0,0,0,0,0,0,0,4,0
