,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,1883,554971334,20968911,2982297,39,95,153,108,236,0,12,129,0,217,69,576,63,134,14,38,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
transportation & traffic,5698,1525336508,56731699,7972734,154,215,446,417,558,0,52,387,0,664,218,1875,262,352,41,53,4,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0
food & drinks,3367,784700334,28001630,3619971,56,106,163,366,284,0,39,223,0,380,132,1161,108,298,19,31,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
animal,3875,987591114,39386224,5123909,79,162,311,656,338,0,15,236,0,405,133,1115,111,238,30,44,2,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0
kitchenware,6112,1510117819,53174259,7122901,139,220,481,530,536,0,50,364,0,691,227,2053,287,433,39,58,4,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0
household,7235,1990380542,76717640,10486139,156,277,625,652,658,0,54,435,0,835,268,2351,358,442,45,74,5,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0
office & belongings,6315,1721846463,67226182,9336256,144,222,551,517,576,0,45,377,0,738,238,2075,327,390,40,70,5,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0
person,6866,1935690011,77017292,10392249,145,269,589,551,638,0,44,418,0,799,256,2287,344,407,45,68,6,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0
