,numVideos,views,likes,comments,Autos & Vehicles,Film & Animation,Music,Pets & Animals,Sports,Short Movies,Travel & Events,Gaming,Videoblogging,People & Blogs,Comedy,Entertainment,News & Politics,Howto & Style,Education,Science & Technology,Nonprofits & Activism,Movies,Anime/Animation,Action/Adventure,Classics,Comedy,Documentary,Drama,Family,Foreign,Horror,Sci-Fi/Fantasy,Thriller,Shorts,Shows,Trailers
sport,6149,2015890510,104972599,14308860,46,201,369,22,719,0,22,232,0,919,234,2044,372,712,122,122,13,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0
transportation & traffic,15160,4940097426,252805769,32239479,185,512,1130,39,1295,0,64,502,0,2492,774,5102,1258,1205,285,275,39,0,0,0,0,774,0,0,0,0,0,0,0,0,3,0
food & drinks,9313,2930247353,162881969,21824540,74,330,515,31,614,0,32,268,0,1593,418,3048,503,1485,214,163,24,0,0,0,0,418,0,0,0,0,0,0,0,0,1,0
animal,10840,3762219550,202684602,25584172,69,437,955,38,860,0,35,332,0,1976,413,3646,609,1081,187,169,32,0,0,0,0,413,0,0,0,0,0,0,0,0,1,0
kitchenware,17786,5451387656,286346491,36976955,164,569,1256,44,1364,0,58,514,0,3055,878,5983,1396,1811,339,301,51,0,0,0,0,878,0,0,0,0,0,0,0,0,3,0
household,21367,7065949931,366810884,46399347,195,728,1740,46,1628,0,74,618,0,3645,1054,7197,1743,1881,387,360,68,0,0,0,0,1054,0,0,0,0,0,0,0,0,3,0
office & belongings,19475,6343880256,331276588,41851120,180,670,1539,37,1500,0,65,565,0,3262,993,6587,1665,1690,325,336,58,0,0,0,0,993,0,0,0,0,0,0,0,0,3,0
person,20478,6813128456,354645629,44541495,179,706,1655,45,1622,0,63,581,0,3502,1044,6966,1722,1702,345,278,65,0,0,0,0,1044,0,0,0,0,0,0,0,0,3,0
